After sweep 14 energy=-127.17212  maxlinkdim=512 maxerr=4.57E-06 time=53.226
After sweep 15 energy=-127.17211  maxlinkdim=512 maxerr=4.58E-06 time=53.281
After sweep 16 energy=-127.17231  maxlinkdim=512 maxerr=4.56E-06 time=53.542
After sweep 17 energy=-127.17337  maxlinkdim=512 maxerr=4.56E-06 time=53.210
After sweep 18 energy=-127.17245  maxlinkdim=512 maxerr=4.55E-06 time=53.148
After sweep 19 energy=-127.173584  maxlinkdim=512 maxerr=4.56E-06 time=53.126
After sweep 20 energy=-127.17414  maxlinkdim=512 maxerr=4.56E-06 time=53.038
E0 = -127.17414
M = 16.000143
After sweep 1 energy=-106.57446  maxlinkdim=4 maxerr=0.00E+00 time=1.308
After sweep 2 energy=-120.93048  maxlinkdim=16 maxerr=0.00E+00 time=1.544
After sweep 3 energy=-126.26168  maxlinkdim=64 maxerr=0.00E+00 time=2.571
After sweep 4 energy=-126.99009  maxlinkdim=256 maxerr=0.00E+00 time=7.692
After sweep 5 energy=-127.076866  maxlinkdim=512 maxerr=3.83E-06 time=39.791
After sweep 6 energy=-127.09689  maxlinkdim=512 maxerr=9.95E-06 time=54.460
After sweep 7 energy=-127.13711  maxlinkdim=512 maxerr=1.06E-05 time=54.460
After sweep 8 energy=-127.15377  maxlinkdim=512 maxerr=7.55E-06 time=54.326
After sweep 9 energy=-127.158676  maxlinkdim=512 maxerr=5.75E-06 time=53.991
After sweep 10 energy=-127.16217  maxlinkdim=512 maxerr=5.40E-06 time=54.094
After sweep 11 energy=-127.16597  maxlinkdim=512 maxerr=5.07E-06 time=53.619
After sweep 12 energy=-127.16724  maxlinkdim=512 maxerr=4.85E-06 time=53.499
After sweep 13 energy=-127.16913  maxlinkdim=512 maxerr=4.68E-06 time=53.410
After sweep 14 energy=-127.170494  maxlinkdim=512 maxerr=4.69E-06 time=53.343
After sweep 15 energy=-127.17117  maxlinkdim=512 maxerr=4.69E-06 time=53.284
After sweep 16 energy=-127.171585  maxlinkdim=512 maxerr=4.85E-06 time=53.556
After sweep 17 energy=-127.171875  maxlinkdim=512 maxerr=4.68E-06 time=53.227
After sweep 18 energy=-127.172745  maxlinkdim=512 maxerr=4.64E-06 time=53.187
After sweep 19 energy=-127.17309  maxlinkdim=512 maxerr=4.61E-06 time=53.186
After sweep 20 energy=-127.17352  maxlinkdim=512 maxerr=4.59E-06 time=53.071
E0 = -127.17352
M = 16.000103
